USER_ID,AGE,GENDER,LOCATION,SALARY
0,37,FEMALE,93257,30995
1,39,MALE,93257,30995
2,40,MALE,66062,68682
3,35,MALE,11373,38151
4,40,MALE,90201,30029
5,35,FEMALE,92336,55340
6,39,MALE,92335,35008
7,43,FEMALE,93307,26462
8,44,FEMALE,85364,31515
9,41,FEMALE,77036,26931
10,41,MALE,11377,37360
11,39,MALE,91706,41621
12,41,FEMALE,94565,48523
13,36,FEMALE,94544,49452
14,34,FEMALE,66062,68682
15,41,FEMALE,78521,23426
16,40,MALE,11355,36973
17,39,MALE,91911,38010
18,39,FEMALE,10453,21109
19,38,MALE,10453,21109
20,42,FEMALE,75070,84847
21,37,MALE,95076,45354
22,38,MALE,60625,40083
23,45,MALE,92509,45995
24,38,FEMALE,77494,86488
25,42,FEMALE,60629,40279
26,38,FEMALE,37211,37141
27,42,FEMALE,92336,55340
28,38,FEMALE,92683,49686
29,40,FEMALE,11377,37360
30,41,FEMALE,11212,20839
31,39,MALE,93065,72384
32,47,MALE,11368,34746
33,33,FEMALE,93257,30995
34,35,FEMALE,93535,39747
35,36,FEMALE,22193,67190
36,35,FEMALE,90255,30375
37,42,FEMALE,92154,42970
38,41,MALE,60618,41355
39,42,MALE,92335,35008
40,40,FEMALE,30043,71424
41,31,FEMALE,75211,32702
42,34,FEMALE,93257,30995
43,40,FEMALE,92683,49686
44,33,FEMALE,60625,40083
45,44,FEMALE,90201,30029
46,40,MALE,90255,30375
47,34,MALE,90805,32565
48,39,MALE,11212,20839
49,45,MALE,91910,42970
50,40,MALE,92804,41887
51,34,FEMALE,92683,49686
52,37,FEMALE,10468,26852
53,32,MALE,90201,30029
54,41,FEMALE,77083,52931
55,47,FEMALE,23464,53486
56,44,FEMALE,92804,41887
57,36,MALE,11234,51446
58,40,FEMALE,90250,33656
59,41,FEMALE,91706,41621
60,41,FEMALE,11373,38151
61,36,FEMALE,60618,41355
62,44,MALE,11226,29498
63,41,FEMALE,90250,33656
64,40,FEMALE,11230,32327
65,38,MALE,23464,53486
66,37,MALE,8701,35647
67,39,FEMALE,90805,32565
68,39,MALE,10468,26852
69,41,MALE,30043,71424
70,40,MALE,78521,23426
71,40,MALE,92509,45995
72,44,FEMALE,92683,49686
73,32,FEMALE,60647,35283
74,44,MALE,93550,37484
75,35,FEMALE,91342,48744
76,37,MALE,90706,39362
77,44,MALE,93307,26462
78,43,FEMALE,92503,44829
79,40,MALE,90011,23851
80,38,MALE,11230,32327
81,45,FEMALE,8701,35647
82,39,FEMALE,926,26306
83,42,FEMALE,60629,40279
84,43,FEMALE,91710,55185
85,41,FEMALE,60618,41355
86,37,MALE,93033,46342
87,37,FEMALE,92335,35008
88,42,FEMALE,11377,37360
89,38,MALE,92509,45995
90,36,MALE,92336,55340
91,40,FEMALE,92683,49686
92,40,FEMALE,90805,32565
93,44,FEMALE,77584,70113
94,44,MALE,92345,41423
95,42,MALE,75217,31532
96,40,FEMALE,91706,41621
97,36,MALE,11373,38151
98,38,FEMALE,77573,68458
99,39,MALE,90706,39362
100,44,FEMALE,37013,46063
101,38,FEMALE,91910,42970
102,45,FEMALE,11230,32327
103,41,MALE,95076,45354
104,42,MALE,10025,49733
105,39,MALE,92804,41887
106,41,MALE,85364,31515
107,45,MALE,30044,60427
108,37,MALE,79912,48627
109,40,MALE,93033,46342
110,36,FEMALE,91910,42970
111,38,MALE,91342,48744
112,38,FEMALE,60647,35283
113,42,FEMALE,23464,53486
114,39,MALE,77429,78527
115,32,MALE,95076,45354
116,40,FEMALE,92345,41423
117,39,MALE,11368,34746
118,36,FEMALE,78577,24216
119,45,FEMALE,77479,96118
120,36,FEMALE,94565,48523
121,37,FEMALE,93535,39747
122,38,MALE,79936,42857
123,42,MALE,94544,49452
124,42,FEMALE,11234,51446
125,37,FEMALE,11206,18661
126,35,FEMALE,37013,46063
127,34,FEMALE,93033,46342
128,33,FEMALE,90201,30029
129,41,FEMALE,93033,46342
130,35,FEMALE,10025,49733
131,40,MALE,92503,44829
132,38,MALE,92336,55340
133,43,MALE,60625,40083
134,39,MALE,60629,40279
135,45,FEMALE,10002,24022
136,33,MALE,30044,60427
137,37,MALE,79912,48627
138,38,MALE,91710,55185
139,44,FEMALE,75070,84847
140,42,FEMALE,91710,55185
141,43,FEMALE,10467,29044
142,39,FEMALE,78577,24216
143,41,FEMALE,91710,55185
144,51,FEMALE,93550,37484
145,41,MALE,11368,34746
146,43,MALE,23464,53486
147,37,MALE,93033,46342
148,44,FEMALE,75052,60254
149,39,MALE,23464,53486
150,36,MALE,92345,41423
151,34,MALE,37013,46063
152,37,FEMALE,95823,36001
153,45,MALE,11214,33765
154,35,MALE,91709,78336
155,40,MALE,93307,26462
156,37,MALE,90805,32565
157,39,MALE,85364,31515
158,34,FEMALE,90044,22091
159,33,FEMALE,92335,35008
160,40,FEMALE,92345,41423
161,36,MALE,94565,48523
162,33,FEMALE,11377,37360
163,39,FEMALE,93550,37484
164,46,FEMALE,30044,60427
165,36,MALE,91709,78336
166,41,FEMALE,10467,29044
167,38,MALE,92509,45995
168,45,FEMALE,60618,41355
169,43,FEMALE,91710,55185
170,37,FEMALE,79936,42857
171,40,MALE,87121,34359
172,36,FEMALE,91331,39225
173,31,MALE,77573,68458
174,40,FEMALE,92336,55340
175,36,MALE,10029,22232
176,47,FEMALE,95823,36001
177,45,FEMALE,10456,16664
178,46,MALE,77584,70113
179,45,MALE,77083,52931
180,43,FEMALE,77584,70113
181,33,FEMALE,75070,84847
182,42,FEMALE,60647,35283
183,47,FEMALE,10458,22072
184,41,FEMALE,30349,39141
185,42,MALE,10029,22232
186,43,MALE,89110,43073
187,35,FEMALE,77429,78527
188,40,FEMALE,11219,26648
189,37,MALE,90011,23851
190,36,FEMALE,77083,52931
191,41,MALE,11212,20839
192,42,MALE,11212,20839
193,38,MALE,11235,31013
194,38,FEMALE,93550,37484
195,36,FEMALE,60647,35283
196,41,MALE,10029,22232
197,39,FEMALE,10456,16664
198,40,MALE,90250,33656
199,41,FEMALE,90201,30029
200,40,MALE,37013,46063
201,39,FEMALE,75070,84847
202,46,FEMALE,92154,42970
203,38,MALE,926,26306
204,40,MALE,93722,43256
205,40,MALE,926,26306
206,42,FEMALE,95076,45354
207,37,MALE,11226,29498
208,34,FEMALE,10462,33735
209,39,FEMALE,78521,23426
210,37,MALE,60629,40279
211,39,MALE,11207,24163
212,44,MALE,93307,26462
213,42,FEMALE,93722,43256
214,39,MALE,30043,71424
215,39,FEMALE,11206,18661
216,33,FEMALE,11214,33765
217,39,MALE,10025,49733
218,39,MALE,92345,41423
219,32,MALE,95823,36001
220,42,MALE,28269,61899
221,38,FEMALE,77429,78527
222,36,MALE,91710,55185
223,44,MALE,93033,46342
224,36,FEMALE,30044,60427
225,33,MALE,11355,36973
226,33,MALE,11214,33765
227,36,MALE,91710,55185
228,38,FEMALE,23464,53486
229,39,FEMALE,11355,36973
230,37,FEMALE,11219,26648
231,38,MALE,30044,60427
232,37,FEMALE,10456,16664
233,39,FEMALE,10029,22232
234,37,MALE,10453,21109
235,36,FEMALE,10458,22072
236,39,FEMALE,11226,29498
237,38,FEMALE,75070,84847
238,40,MALE,77479,96118
239,31,MALE,92704,49923
240,36,FEMALE,77084,53075
241,40,MALE,11355,36973
242,37,MALE,93033,46342
243,43,FEMALE,93307,26462
244,42,FEMALE,85364,31515
245,35,FEMALE,60625,40083
246,39,MALE,93550,37484
247,36,MALE,91911,38010
248,43,FEMALE,10453,21109
249,44,MALE,90011,23851
250,38,FEMALE,11235,31013
251,42,MALE,11207,24163
252,40,FEMALE,93535,39747
253,43,FEMALE,60629,40279
254,38,FEMALE,11235,31013
255,37,MALE,87121,34359
256,33,FEMALE,90011,23851
257,36,MALE,91744,46792
258,41,FEMALE,11235,31013
259,33,MALE,60617,35534
260,39,FEMALE,79936,42857
261,45,FEMALE,90044,22091
262,40,MALE,66062,68682
263,42,MALE,90650,46012
264,41,FEMALE,11368,34746
265,33,FEMALE,28269,61899
266,35,MALE,91706,41621
267,40,MALE,11207,24163
268,36,FEMALE,91709,78336
269,35,FEMALE,10458,22072
270,29,FEMALE,30349,39141
271,38,MALE,77036,26931
272,42,MALE,60618,41355
273,35,FEMALE,77573,68458
274,43,MALE,91342,48744
275,40,FEMALE,89110,43073
276,32,FEMALE,10453,21109
277,35,FEMALE,90280,35744
278,37,FEMALE,23464,53486
279,35,MALE,92509,45995
280,34,FEMALE,91335,40792
281,41,MALE,11368,34746
282,35,FEMALE,91706,41621
283,42,FEMALE,91342,48744
284,43,FEMALE,11207,24163
285,41,MALE,78577,24216
286,46,MALE,92553,38554
287,32,MALE,11355,36973
288,40,MALE,11355,36973
289,39,FEMALE,87121,34359
290,35,FEMALE,10025,49733
291,40,FEMALE,91335,40792
292,38,MALE,91709,78336
293,35,FEMALE,77584,70113
294,43,MALE,11230,32327
295,36,FEMALE,60617,35534
296,49,FEMALE,90805,32565
297,42,FEMALE,60625,40083
298,37,FEMALE,90201,30029
